BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,RICH OIL FLOW(M3/hr),STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,COG Generation,DISTILLATION COLUMN MIDDLE TEMP,FGC OUTLET GAS TEMP
°C,°C,kpa,kpa,TPH,°C,°C,°C,TON,MT,°C,°C
25.67,19.61,3.48,2.6,2.37,348.11,94.05,169.17,28.12,3615.41,95.69,0
25.59,28.38,2.95,1.59,2.37,341.32,94,169.03,27.77,3463.270645,95.43,0
25.64,29.83,3.52,1.97,2.38,342.1,94.07,170.2,28.3,107361.39,95.08,0
25.43,30.34,3.55,1.56,2.36,348.13,93.36,168.18,27.7,0,95.9,0
25.41,29.78,3.6,1.55,2.37,345.24,93.71,168.88,28.03,0,96.78,0
24.33,33.15,3.02,1.56,2.37,346.97,94.42,169.14,26.8,0,95.4,0
25.3,28.87,3.75,1.57,2.39,345.99,94.25,167.5,26.72,3569.5025,94.99,0
25.66,29.47,2.38,1.56,2.39,340.87,94.42,167.75,26.44,3556.11,94.82,0
26.03,30.85,0,2.04,2.39,345.77,94.07,168.17,27.23,3533.17,95.31,0
26.35,31.82,2.97,1.75,2.34,349.41,94.1,167.73,27.8,3559.93,94.37,0
26.49,32.48,2.44,2.16,2.35,340.04,93.99,168,26.21,3493.13,95.04,0
25.94,29.13,2.83,2.63,2.51,349.24,94.14,168.27,27.5,3564.79,94.64,0
25.34,29.97,3.25,1.62,2.38,344.37,94.03,168.67,27.39,3546.85,94.12,0
25.58,31.27,3.39,2.13,1.49,251,65,118,14.86,3340.48,94.71,0
