LOWER COND TEMP AT INELT',LOWER COND TEMP AT OUTLET,UPPER COND TEMPE AT INELT,UPPER COND TEMPE AT OUTLET,BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  OUTLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,BENZOL WASHER RESISTANCE,RICH OIL FLOW(M3/hr),RICH OIL INLET TEMP TO PIPEHEATER,RICH OIL PRESSURE AT PIPEHEATER INLET,RICH OIL OUTLET TEMP FROM  PIPEHEATER,RICH OIL PRESSURE AT PIPEHEATER OUTLET,PIPEHEATER MIDDLE TEMP,STEAM INLET TEMP TO PIPEHEATER,STEAM OUTLET TEMP FROM PIPEHEATER,COG FLOW TO PIPEHEATER,COG PRESSURE TO PIPEHEATER,STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,CRUDE BENZENE AT <75 C, BENZOL (BTX),Benzene ,Production ,Dispatch,yield  (Dry basis),QI,Moisture,Density ,Dry basis,wet basis ,Actual ,Dry basis,Consumer(from FMD),Flare(Flow meter),Tot Gas to Battry,SAP production,0,SAP production
33.74,30.76,28.16,22.99,27.98,36.4,27.98,2.73,65,150.58,0.28,180.51,0.14,390.78,134.45,338.41,262.78,1.36,2.38,338.41,94.27,168,24.89,36.16,0.74,88.51,78.86,77.14285714,27.14285714,0,2.445,1.928571429,1.17,0,0,0,0,0,0,0,0,0,0
33.54,30.35,29.09,23.17,28.4,35.98,28.4,2.59,63.97,149.73,0.28,179.18,0.14,389.01,139.65,335.2,263.01,1.39,2.37,335.2,94.25,163.68,24.07,36.08,0.79,88.71,79.21,75,150.8333333,0,2.415,1.74,1.17,0,0,0,0,0,0,0,0,0,0
33.12,29.68,28.68,22.72,27.78,35.68,27.78,3.17,65.3,150.51,0.29,179.99,0.14,390.61,149.19,334.31,263.28,1.21,2.38,334.31,94.24,166.08,25.71,35.41,0.74,88.87,79.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.57,30.85,28.6,51.44,28.05,35.43,28.05,3.71,65.52,148.85,0.29,178.37,0.13,401.44,149.8,334.37,266.94,1.45,2.37,334.37,94.33,165.01,27.6,34.93,0.69,89.1,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,30.76,31.1,2.3,61.32,129.3,0.32,163.39,0.18,0,-47.32,0,2.36,0.3,175.47,38.24,318.18,0,0,0,0,0,31.1,90,0,3.21804393,2.61,1.4,1.18,2796.73,3034.63,984648,352.0711688,9600,200,222695,70,2.502923057,25
0,0,0,0,0,30,30.63,2.08,61.46,129,0.32,163.5,0.18,0,-45.17,0,2.37,0.3,179.03,38.5,331.31,0,0,0,0,0,30.63,90,0,2.987452699,2.59,1.5,1.18,3012.6,3260.63,979296,325.0667198,9600,466,213516,70,2.323574321,10
0,0,0,0,0,31.2,31.27,2.47,61.31,130.28,0.32,165.3,0.18,0,-44.7,0,2.36,0.3,180.8,38.77,335.02,0,0,0,0,0,31.27,90,0,3.018645165,2.29,1.4,1.18,2981.47,3225.02,1010640,338.9737277,9600,400,225855,70,2.347835128,25
0,0,0,0,0,31.6,32.23,2.3,61.4,129.4,0.32,163.65,0.18,0,-44.53,0,2.4,0.32,180.68,39.48,331.09,0,0,0,0,0,32.23,0,0,0,2.31,1.3,1.18,3070.46,3277.71,1020984,332.5182546,9600,200,228678,70,2.279788696,26
0,0,0,0,0,31.3,36.6,2.2,61.97,129.94,0.32,164.92,0.18,0,-43.72,0,2.37,0.32,182.72,39.48,340.37,0,0,0,0,0,36.6,90,0,2.933507171,2.44,1.4,1.18,3068,3353.03,1013088,330.2112125,9600,0,225589,73,2.379400261,27
0,0,0,0,0,31.33,33.31,1.77,61.73,132.21,0.32,168.13,0.18,0,-44.1,0,2.36,0.31,184.8,40.03,345.4,0,0,0,0,0,33.31,90,60,2.912470552,2.04,1.5,1.18,3090.16,3349.09,995712,322.2202087,9600,100,225057,72,2.329976441,27
